"company_uuid","company_permalink","category"
"00001b2da4f755d5d69a17acbac9c17b","std-risk-calculator","Biotechnology"
"000607fccea0535c6324e83ba07c8cc7","biovigilant-systems","Biotechnology"
"000a321e5e08d553b65e60548f4b76bd","bistro","Analytics"
"000a321e5e08d553b65e60548f4b76bd","bistro","Reputation"
"000a321e5e08d553b65e60548f4b76bd","bistro","Reviews and Recommendations"
"000a321e5e08d553b65e60548f4b76bd","bistro","Restaurants"
"000a321e5e08d553b65e60548f4b76bd","bistro","Photography"
"000e0a0375e78b1d9c462a9ad0e68ab5","oryzon-genomics","Biotechnology"
"000e0a0375e78b1d9c462a9ad0e68ab5","oryzon-genomics","Medical"
"001357404d5a435d7fb02f8029bccfc2","interna-technologies","Biotechnology"
"00163aaf0889cd3b5c00fc923806d20e","biohealthonomics-inc","Biotechnology"
"00163aaf0889cd3b5c00fc923806d20e","biohealthonomics-inc","Pharmaceuticals"
"00163aaf0889cd3b5c00fc923806d20e","biohealthonomics-inc","Medical"
"00163aaf0889cd3b5c00fc923806d20e","biohealthonomics-inc","Health Care"
"001e12da151c1caed8984df437b5d99d","zetroz","Biotechnology"
"002177128d7e07b42ba0dd81d405bdf3","life-sciences-group-inc","Life Sciences"
"002177128d7e07b42ba0dd81d405bdf3","life-sciences-group-inc","Biotechnology"
"00291af44b07e1d4e7500279010ed42f","aeroleads","Lead Generation"
"00291af44b07e1d4e7500279010ed42f","aeroleads","Data Mining"
"002dba78a5db27e4feb9eb432b51fdfc","microsoft-research","Algorithms"
"002dba78a5db27e4feb9eb432b51fdfc","microsoft-research","Computer Vision"
"002dba78a5db27e4feb9eb432b51fdfc","microsoft-research","Data Mining"
"002dba78a5db27e4feb9eb432b51fdfc","microsoft-research","Machine Learning"
"002e0b73ab4ebfd50d9ae6df8fede446","bioatla","Biotechnology"
"002e0b73ab4ebfd50d9ae6df8fede446","bioatla","Manufacturing"
"002e0b73ab4ebfd50d9ae6df8fede446","bioatla","Pharmaceuticals"
"002e7723ca64a785590c198524743de5","raven-biotechnologies","Biotechnology"
"002e8cbb14f951842b51f728f7b5b738","blabfeed","Curated Web"
"002e8cbb14f951842b51f728f7b5b738","blabfeed","Advertising"
"002e8cbb14f951842b51f728f7b5b738","blabfeed","Digital Signage"
"002e8cbb14f951842b51f728f7b5b738","blabfeed","Media"
"002e8cbb14f951842b51f728f7b5b738","blabfeed","Sales and Marketing"
"002e8cbb14f951842b51f728f7b5b738","blabfeed","Market Research"
"002e8cbb14f951842b51f728f7b5b738","blabfeed","Big Data Analytics"
"002f2e1d7e59cc9c0d33e7f19f567739","meerkat-2","Technology"
"002f2e1d7e59cc9c0d33e7f19f567739","meerkat-2","Startups"
"002f2e1d7e59cc9c0d33e7f19f567739","meerkat-2","Software"
"002f2e1d7e59cc9c0d33e7f19f567739","meerkat-2","Machine Learning"
"002f87157e27c7f571908d2968cf7dc5","covidien","Biotechnology"
"002f87157e27c7f571908d2968cf7dc5","covidien","Medical"
"002f87157e27c7f571908d2968cf7dc5","covidien","Electronics"
"002f87157e27c7f571908d2968cf7dc5","covidien","Health Care"
"003b7da77e0a1ebec32c19210e9dcbdd","prometheus-laboratories","Biotechnology"
"004202e58e638af76271f100e4943b0f","mobclix","Advertising"
"004202e58e638af76271f100e4943b0f","mobclix","iPhone"
"004202e58e638af76271f100e4943b0f","mobclix","Analytics"
"004202e58e638af76271f100e4943b0f","mobclix","Consumer Electronics"
"004202e58e638af76271f100e4943b0f","mobclix","Android"
"004202e58e638af76271f100e4943b0f","mobclix","Gps"
"004202e58e638af76271f100e4943b0f","mobclix","Mobile"
"004202e58e638af76271f100e4943b0f","mobclix","Startups"
"0046a8930dfa0e728c5a314e4bc31746","pummelvision-com","Video"
"0046a8930dfa0e728c5a314e4bc31746","pummelvision-com","Photography"
