"company_uuid","company_permalink","funding_type","series","announced_on","money_raised_usd"
"35f04970a5c31f5e3f0db8693c5ce0fe","redlink-2",NA,NA,NA,NA
"01fb5dd2a8075db996ca51125586256c","art-data-institute",NA,NA,NA,NA
"5fd09f047c76c0ec89d5e0442549496a","algo-rhythm",NA,NA,NA,NA
"2dbc6e0635e4050e18531cd7ad2f01e4","once",NA,NA,NA,NA
"cc2a3b0b2e9b9c72a036dc8ad08b8eb2","bratpackstyle-llc","seed",NA,"2015-06-01",NA
"12310c337e9bd0b6fb49a28dbfef842f","077football-news-media-limited",NA,NA,NA,NA
"e4c742590b8ca9874798fea1fd18c3e2","1000-likes-com",NA,NA,NA,NA
"b78ede2d76c1d86e26e488709affd838","100plus","venture",NA,"2011-11-02",5e+05
"b78ede2d76c1d86e26e488709affd838","100plus","seed",NA,"2011-11-30",750000
"a5809eccb6a08793b1a25edc092ee2e1","101-holidays",NA,NA,NA,NA
"52dc204d8f66e9ff9e1890a450cce899","10fold-solutions",NA,NA,NA,NA
"863994caa47542f73f005c669df4ec02","10k-wizard",NA,NA,NA,NA
"cf3b00cfffbf0e4f6427a60e5060de39","10x-genomics","venture","B","2015-01-12",5.5e+07
"ae200f1a0753ccb9fbd2b7ca95cd294e","10x-technologies","debt_financing",NA,"2012-11-07",3e+06
"ae200f1a0753ccb9fbd2b7ca95cd294e","10x-technologies","venture","1","2015-01-12",550000
"304dce05c26c1f80c95a7ae7fae3ad68","11ants-analytics",NA,NA,NA,NA
"3c0db51a46faf88fab6c815519189ca7","1234enter","venture",NA,"2013-11-22",150267
"3c0db51a46faf88fab6c815519189ca7","1234enter","seed",NA,"2012-09-01",5e+05
"c83491aaadeec5a059328385497ca38b","140-proof","venture","b","2011-04-28",2500000
"c83491aaadeec5a059328385497ca38b","140-proof","venture","a","2009-07-01",3e+06
"8c72dc147ba9c54cef9abd3f1dbfe7e8","17e-technologies",NA,NA,NA,NA
"5ac72a7fb3cab45882b4420ee441826d","1datapoint-diagnostics",NA,NA,NA,NA
"28af18e33818bff47aa87cbd0faa82fb","1degreebio",NA,NA,NA,NA
"da183f46e064945db727b2bbafcfbfd7","1world-online","venture","a","2013-12-01",5e+05
"da183f46e064945db727b2bbafcfbfd7","1world-online","venture","a","2013-07-02",1e+06
"da183f46e064945db727b2bbafcfbfd7","1world-online","venture","A","2015-08-13",2500000
"a42a8311c5f3f083ac3e1c85f805d9a1","2-minute-medicine",NA,NA,NA,NA
"0dc705d6b6bb87ed836e72a5777c0a93","2-pro-media-group","undisclosed",NA,"2014-01-01",41250
"f335a63669f52752be8e20dee701a665","20-20-insights",NA,NA,NA,NA
"7e456d6244d8a0ddd5cf6ef315af80a8","20-20-gene-systems-inc","venture","A","2016-01-14",4500000
"7e456d6244d8a0ddd5cf6ef315af80a8","20-20-gene-systems-inc","venture",NA,"2015-08-28",2158413
"7e456d6244d8a0ddd5cf6ef315af80a8","20-20-gene-systems-inc","venture",NA,"2012-09-25",150000
"e3522e90b72e5c6b35ea5b7f24feeb35","22-barcelona",NA,NA,NA,NA
"879f5bee5780e20f77e4f8cfc7567832","22nd-century-group","venture","a","2012-11-16",2428500
"879f5bee5780e20f77e4f8cfc7567832","22nd-century-group","venture",NA,"2010-12-28",1e+05
"879f5bee5780e20f77e4f8cfc7567832","22nd-century-group","debt_financing",NA,"2012-08-23",530000
"879f5bee5780e20f77e4f8cfc7567832","22nd-century-group","debt_financing",NA,"2011-12-28",1926250
"879f5bee5780e20f77e4f8cfc7567832","22nd-century-group","venture",NA,"2014-09-18",1e+07
"879f5bee5780e20f77e4f8cfc7567832","22nd-century-group","debt_financing",NA,"2014-09-18",50000
"65cbde85c8f2c2f274f81582a2f0d477","2338-technologies",NA,NA,NA,NA
"f93d65c711daf0850bddd54510f77a41","23andme","post_ipo_equity",NA,"2005-11-02",1e+05
"f93d65c711daf0850bddd54510f77a41","23andme","venture","1","2011-01-07",9e+06
"f93d65c711daf0850bddd54510f77a41","23andme","venture","1","2007-10-03",9e+06
"f93d65c711daf0850bddd54510f77a41","23andme","venture","1","2010-11-09",2.2e+07
"f93d65c711daf0850bddd54510f77a41","23andme","venture","1","2009-06-18",12600000
"f93d65c711daf0850bddd54510f77a41","23andme","venture","1","2012-12-21",57949900
"f93d65c711daf0850bddd54510f77a41","23andme","grant",NA,"2014-07-29",1400000
"f93d65c711daf0850bddd54510f77a41","23andme","venture","1","2015-07-03",1.15e+08
"22ad4add01e42ca6e8054f9474afa155","24h00","seed",NA,"2006-08-01",NA
"51d02eec75524d761aa56f3266e28744","25trends",NA,NA,NA,NA
"b62060b953111034a7286d0f24ca6353","2adpro-media-solutions","venture","a","2008-03-31",NA
"960b160588e647e62893b45d142e4203","2findlocal-com-database",NA,NA,NA,NA
"4fc5edc256c7605319f5b7dd6da7ea52","2mares",NA,NA,NA,NA
"62af89d6e7ea892d2514203a10c8f61e","2thinknow",NA,NA,NA,NA
