"company_uuid","company_permalink","permalink","name","description"
"35f04970a5c31f5e3f0db8693c5ce0fe","redlink-2",NA,NA,NA
"01fb5dd2a8075db996ca51125586256c","art-data-institute",NA,NA,NA
"5fd09f047c76c0ec89d5e0442549496a","algo-rhythm",NA,NA,NA
"2dbc6e0635e4050e18531cd7ad2f01e4","once",NA,NA,NA
"cc2a3b0b2e9b9c72a036dc8ad08b8eb2","bratpackstyle-llc",NA,NA,NA
"12310c337e9bd0b6fb49a28dbfef842f","077football-news-media-limited",NA,NA,NA
"e4c742590b8ca9874798fea1fd18c3e2","1000-likes-com",NA,NA,NA
"b78ede2d76c1d86e26e488709affd838","100plus",NA,NA,NA
"a5809eccb6a08793b1a25edc092ee2e1","101-holidays","101-holidays","101 Holidays","101 Holidays was launched in 2009"
"a5809eccb6a08793b1a25edc092ee2e1","101-holidays","101-family-holidays","101 Family Holidays","101 Family Holidays was added to CrunchBase in 2011"
"a5809eccb6a08793b1a25edc092ee2e1","101-holidays","101shortbreaks-co-uk","101 Short Breaks","101 Short Breaks was launched in 2009"
"a5809eccb6a08793b1a25edc092ee2e1","101-holidays","101-honeymoons","101 Honeymoons","101 Honeymoons was launched in 2010"
"52dc204d8f66e9ff9e1890a450cce899","10fold-solutions",NA,NA,NA
"863994caa47542f73f005c669df4ec02","10k-wizard",NA,NA,NA
"cf3b00cfffbf0e4f6427a60e5060de39","10x-genomics",NA,NA,NA
"ae200f1a0753ccb9fbd2b7ca95cd294e","10x-technologies",NA,NA,NA
"304dce05c26c1f80c95a7ae7fae3ad68","11ants-analytics",NA,NA,NA
"3c0db51a46faf88fab6c815519189ca7","1234enter",NA,NA,NA
"c83491aaadeec5a059328385497ca38b","140-proof",NA,NA,NA
"8c72dc147ba9c54cef9abd3f1dbfe7e8","17e-technologies","leova","LeovaTravel","LeovaTrave is a full-featured API that is designed to be a conversationally complex (but plug&play) voice interface for the travel industry"
"5ac72a7fb3cab45882b4420ee441826d","1datapoint-diagnostics",NA,NA,NA
"28af18e33818bff47aa87cbd0faa82fb","1degreebio",NA,NA,NA
"da183f46e064945db727b2bbafcfbfd7","1world-online",NA,NA,NA
"a42a8311c5f3f083ac3e1c85f805d9a1","2-minute-medicine",NA,NA,NA
"0dc705d6b6bb87ed836e72a5777c0a93","2-pro-media-group",NA,NA,NA
"f335a63669f52752be8e20dee701a665","20-20-insights",NA,NA,NA
"7e456d6244d8a0ddd5cf6ef315af80a8","20-20-gene-systems-inc",NA,NA,NA
"e3522e90b72e5c6b35ea5b7f24feeb35","22-barcelona",NA,NA,NA
"879f5bee5780e20f77e4f8cfc7567832","22nd-century-group",NA,NA,NA
"65cbde85c8f2c2f274f81582a2f0d477","2338-technologies",NA,NA,NA
"f93d65c711daf0850bddd54510f77a41","23andme",NA,NA,NA
"22ad4add01e42ca6e8054f9474afa155","24h00",NA,NA,NA
"51d02eec75524d761aa56f3266e28744","25trends",NA,NA,NA
"b62060b953111034a7286d0f24ca6353","2adpro-media-solutions",NA,NA,NA
"960b160588e647e62893b45d142e4203","2findlocal-com-database",NA,NA,NA
"4fc5edc256c7605319f5b7dd6da7ea52","2mares",NA,NA,NA
"62af89d6e7ea892d2514203a10c8f61e","2thinknow",NA,NA,NA
"58e612732716eee5f6726e0370c829b7","3-kinds-of-ice",NA,NA,NA
"a19f1ddc9ea771dd275b6f71f62f6eaf","3-v-biosciences",NA,NA,NA
"e5f2fcdc029f85b92a3b8ce712bbd715","30-digits-gmbh",NA,NA,NA
"9e7645e60a5b089171235dac9c53d1fe","31hex",NA,NA,NA
"95f91af2780f39d5c2c2fc78b8f54d63","32-digital",NA,NA,NA
"0224b436e323571ecb0ce1a7c4573f55","33across",NA,NA,NA
"0e81bc57194db638e0c8b58e0f1d290c","36-labs-llc","core-performance-marketing-platform","CORE: Performance Marketing Platform","Uniquely designed performance marketing platform for online marketing, conversion tracking, campaign data analysis, and lead generation."
"fb77c177e885e8c3cc9795aefc31a0e7","360-thinking",NA,NA,NA
"6900f282e87e5b8ef2300130b3dd5f25","360guanxi",NA,NA,NA
"8ededb53bd71ce12bc9385e0c7c61b71","360imaging",NA,NA,NA
"760029366523c4cb4f0252b4c93be72a","365-media",NA,NA,NA
"02f44c49453024b3879694551b5ed9a8","3ality-digital","3flex-ts2","3flex TS2","3flex TS2 was added to CrunchBase in 2010"
"02f44c49453024b3879694551b5ed9a8","3ality-digital","3flex-ts4","3flex TS4","3flex TS4 was added to CrunchBase in 2010"
"02f44c49453024b3879694551b5ed9a8","3ality-digital","3flex-ts5","3flex TS5","3flex TS5 was added to CrunchBase in 2010"
"02f44c49453024b3879694551b5ed9a8","3ality-digital","3flex-sip2100","3flex SIP2100","3flex SIP2100 was added to CrunchBase in 2010"
"02f44c49453024b3879694551b5ed9a8","3ality-digital","3flex-sip2900","3flex SIP2900","3flex SIP2900 was added to CrunchBase in 2010"
"02f44c49453024b3879694551b5ed9a8","3ality-digital","3flex-spc7000","3flex SPC7000","3flex SPC7000 was added to CrunchBase in 2010"
"3cd81f93bfedda6704328c67eeb0e52b","3blades",NA,NA,NA
"4d4c92262e65590f05719dba00a9d702","3ci",NA,NA,NA
"aa2a4fb986d22b2c920383ae6fbc9d18","3c-interactive",NA,NA,NA
"52bd7a269c0f604058498006c0b9e8c3","3claps-the-fastest-baby-fashion",NA,NA,NA
"1fe65457b4782fb20d09b2b27e0e20e0","3d-biomatrix",NA,NA,NA
"01fe586930459665bf460fd1af531c09","3d-rilbits",NA,NA,NA
"8650b719cb123b713fd5fd5075b3fe93","3dr-laboratories",NA,NA,NA
"69a9f2f2cd84695378a745ef1af4aea8","3factorindexing",NA,NA,NA
