"school_permalink","school_name","short_description","description","image_url","homepage_url","created_at","updated_at","headquarters_country","headquarters_city","headquarters_lat","headquarters_lng"
"dimitrie-cantemir-law-school","\"Dimitrie Cantemir\" Law School","Law School",NA,NA,NA,2014-05-14,2014-05-14,NA,NA,NA,NA
"aalborg-university","Aalborg University","Aalborg University is an educational institution offering education and research within the fields of natural sciences and more.","Aalborg University is an educational institution that offers education and research within the fields of natural sciences, social sciences, humanities, and technical and health sciences. It is focused on developing engineers with experience from working with real companies in their semester projects and on working in a team environment that develops the interpersonal skills, as well as teamwork skills.  It is currently focused on developing its profile as a dynamic and innovative research and educational institution oriented towards the surrounding world.  Aalborg University was established in 1974 and is headquartered in Aalborg, Denmark.","http://public.crunchbase.com/t_api_images/v1412670705/hy1rclbaomsws2hdajbs.jpg","http://en.aau.dk",2014-04-20,2016-02-04,NA,NA,NA,NA
"aalto-university","Aalto University","Aalto University’s mission is to build a better a world and a stronger Finland.",NA,"http://public.crunchbase.com/t_api_images/v1411187364/fvswpdybdwefv7owflyj.png","http://www.aalto.fi/en/",2014-04-20,2016-01-18,"Finland",NA,NA,NA
"aalto-university-school-of-arts-design-and-architecture","Aalto University School of Arts, Design and Architecture",NA,NA,NA,"http://arts.aalto.fi/en/",2014-04-20,2015-10-31,"Finland","Helsinki",60.16952,60.16952
"aalto-university-school-of-business","Aalto University School of Business","Aalto University is a new multidisciplinary university, where science and art meet technology and business.","It is primarily located in Greater Helsinki, Finland. The university was created as a result of a merger between three leading Finnish universities that include the Helsinki University of Technology (established 1849), the Helsinki School of Economics (established 1904), and the University of Art and Design Helsinki (established 1871). The result of this close collaboration between the scientific, business and arts community opens up new possibilities for strong multi-disciplinary education and research, which is imperative for creating radical solutions to existing modern technological problems. The Finnish government, in 2010, set out to create a university that has innovation built into its foundations, merging three institutions into one along the way, forming an entity that serves as Finland's model for an innovation university.It comprises six schools with over 19,000 students and 5,000 staff members, thus being Finland's third-largest university. The six schools of Aalto University are all renowned institutions in their respective fields. The main campus of Aalto University is located in Otaniemi, Espoo, where the engineering schools operate, with two schools currently headquartered in Helsinki: the School of Business in Töölö and the School of Arts, Design and Architecture in Arabianranta (set to be relocated to Otaniemi in 2016). In addition, the university operates several units outside Greater Helsinki in Mikkeli, Pori and Vaasa.","http://public.crunchbase.com/t_api_images/v1408639185/zpxoki3rvs1r7br9isef.png","http://business.aalto.fi/en/",2014-04-20,2016-01-16,"Finland","Helsinki",NA,NA
"aarhus-university","Aarhus University",NA,NA,"http://public.crunchbase.com/t_api_images/http://upload.wikimedia.org/wikipedia/en/thumb/4/44/Aarhus_University_logo.png/188px-Aarhus_University_logo.png","http://www.au.dk/en",2014-04-20,2015-10-28,"Denmark","Aarhus",56.1661,56.1661
"academia-militar-das-agulhas-negras","Academia Militar das Agulhas Negras",NA,NA,NA,"http://www.aman.ensino.eb.br",2014-04-20,2015-05-19,NA,NA,NA,NA
"acadia-university","Acadia University","Acadia University is a predominantly undergraduate university located in Wolfville, Nova Scotia, Canada.",NA,"http://public.crunchbase.com/t_api_images/http://upload.wikimedia.org/wikipedia/en/thumb/9/9d/Acadia_U_logo.png/300px-Acadia_U_logo.png","http://www.acadiau.ca",2014-04-20,2016-01-13,NA,NA,NA,NA
"adi-shankara-institute-of-engineering-and-technology","Adi Shankara Institute of Engineering and Technology","The Adi Shankara Institute of Engineering and Technology, is a self-financing college, situated in Kalady",NA,"http://public.crunchbase.com/t_api_images/v1412163468/y03uj79gst4btl8ln1fq.jpg","http://www.adishankara.ac.in/",2014-10-01,2014-10-01,NA,NA,NA,NA
"adithya-institute-of-technology","Adithya Institute Of Technology","Adithya Institute of Technology, located at Coimbatore, Tamil Nadu, India, is a private self-financing engineering Institute,",NA,"http://public.crunchbase.com/t_api_images/v1452146836/goqbaj9pelyihmncwc47.png",NA,2016-01-07,2016-01-15,NA,NA,NA,NA
"afa-brazilian-air-force-academy","AFA - Brazilian Air Force Academy","AFA, located at São Paulo state, is responsible for the trainning of Pilots for the Brazilian Air Foce",NA,"http://public.crunchbase.com/t_api_images/v1403205413/ermdg303zkcbzvonlkag.jpg","http://www.afa.aer.mil.br",2014-06-19,2016-01-17,NA,NA,NA,NA
"afeka-college-of-engineering","Afeka College of Engineering","Afeka Tel Aviv Academic College of Engineering is a public technical college in Tel Aviv, Israel, educating approximately 2,000 students.",NA,NA,"http://www.afeka.ac.il/Afeka_College_of_Engineering_en.aspx",2014-04-20,2016-01-05,"Israel","Tel Aviv",32.08088,32.08088
"agh-university-of-science-and-technology","AGH University of Science and Technology","AGH University of Science and Technology is the technical university in Poland, located in Kraków.",NA,NA,"http://agh.edu.pl/en",2014-04-20,2016-01-18,"Poland","Kraków",50.06143,50.06143
"air-force-institute-of-technology-graduate-school-of-engineering-management","Air Force Institute of Technology - Graduate School of Engineering & Management",NA,"While many graduate schools are part of a university, the Air ForceInstitute of Technology’s Graduate School of Engineering & Management isits own institution. Students at the AFIT Graduate School benefit fromacademics focused on graduate study, with a variety of researchopportunities and a student-to-faculty ratio of about 6:1.The Graduate School of Engineering & Management is divided into severaldepartments:  * Aeronautics & Astronautics  * Electrical & Computer Engineering  * Engineering Physics  * Mathematics & Statistics  * Operational Sciences  * Systems & Engineering ManagementMaster’s and doctoral degree programs are available. You can choose froma number of diverse subjects, from Aeronautical Engineering and ComputerScience to more unusual fields like Industrial Hygiene and EnvironmentalEngineering.Because of these diverse academic offerings, admissions requirementsvary. Generally speaking, applicants to the Graduate School ofEngineering & Management should have previous undergraduate coursework intheir chosen field of study.Financial aid at AFIT Graduate School of Engineering & Management comesin many forms. Assistantships, fellowships, internships and scholarshipscan help to reduce the burden of tuition. Of course, the schoolparticipates in all Department of Veterans Affairs programs as well.",NA,"http://www.afit.edu/",2014-04-20,2014-09-04,"United States","Dayton",39.75895,39.75895
"air-university","Air University","http://www.au.edu.pk/",NA,"http://public.crunchbase.com/t_api_images/v1410325023/ga1kgxaupiqhzgsqrswy.jpg","http://www.au.edu.pk/",2014-09-10,2015-12-19,NA,NA,NA,NA
"aix-marseille-university","Aix-Marseille University","Aix-Marseille University is a public research university located in Provence, southern France.",NA,NA,"http://www.univ-amu.fr/",2014-04-20,2016-01-31,NA,NA,NA,NA
"alagappa-university","Alagappa University",NA,NA,NA,"http://www.alagappauniversity.ac.in",2014-04-20,2015-05-20,NA,NA,NA,NA
"albany-medical-college","Albany Medical College",NA,NA,NA,"http://www.amc.edu/",2014-04-20,2015-05-20,NA,NA,NA,NA
"albert-einstein-college-of-medicine","Albert Einstein College of Medicine","Albert Einstein College of Medicine offers one of the nation’s largest programs for medical education.","The Albert Einstein College of Medicine of Yeshiva University is a premier, research-intensive medical school dedicated to innovative biomedical investigation and to the development of ethical and compassionate physicians and scientists. Inspired by the words of our namesake, we welcome students, faculty and staff from diverse backgrounds who strive to enhance human health in the community and beyond.","http://public.crunchbase.com/t_api_images/v1436782429/in8wba1bmastojblutsq.png","http://www.einstein.yu.edu/",2014-04-20,2015-12-12,"United States","Bronx",40.82732,40.82732
"alfred-university","Alfred University",NA,"For over a century, Alfred University (AU) has provided extensiveacademic offerings.AU has undergraduate degree programs in:  * Athletic Training  * Business Administration  * Communications Studies  * Environmental Studies  * Mechanical Engineering  * Pre-LawAdditionally, graduate degree programs are offered in Counseling,Engineering, Fine Arts, School Psychology, and more. Special summer campsand courses are available as well.The university places a great emphasis on undergraduate research andinternational opportunities through internships and study abroadprograms. To enhance learning and research, AU makes sure that itsfacilities are equipped with updated technology. It also has twoimpressive libraries with a wealth of academic resources for itsstudents.All that, and the university still makes it a priority to reduce itsimpact on the environment through advanced energy-saving andsustainability measures and upgrades.Beyond academics, AU has dozens of clubs and organizations in whichstudents can participate. College life presents students with the chanceto involve themselves in activities such as: athletics, campus living,equestrian programs, performing arts, and spiritual groups.Admissions to AU are selective, and many factors are considered:  * Difficulty of coursework completed  * GPA  * Extracurricular activities  * Personal essay  * Recommendation letters  * Standardized test scoresAU does charge an application fee for admission. According to schoolstatistics, the majority of undergraduates are receiving some type offinancial aid from federal, state, private, and institutional sources.","http://public.crunchbase.com/t_api_images/http://www.campusexplorer.com/media/125x94/Alfred-University-BAB636EF.jpg","http://www.alfred.edu/",2014-04-20,2015-11-04,"United States","Alfred",42.2538,-77.7889
"all-india-institute-of-medical-sciences-new-delhi","All India Institute of Medical Sciences , New Delhi","All India Institute of Medical Sciences , New Delhi",NA,"http://public.crunchbase.com/t_api_images/v1427895256/v5uzf4dwxjswdmiifrl7.png","http://www.aiims.edu/",2014-08-21,2015-12-22,"India","New Delhi",28.63576,28.63576
"allahabad-university","Allahabad University",NA,NA,NA,"http://www.allduniv.ac.in",2014-04-20,2015-05-19,NA,NA,NA,NA
